AREA,Vict Age,Vict Descent,Crm Cd,Premis Cd,Status,dayofweek,day,month,Vict_Sex_F,Vict_Sex_M,Vict_Sex_X
3,21,18,442,404,4,4,10,6,0,0,1
3,30,2,626,502,4,0,12,9,1,0,0
4,26,7,230,733,1,6,28,8,1,0,0
10,77,12,341,501,4,5,12,11,0,1,0
9,85,12,341,410,4,3,18,8,1,0,0
3,17,7,236,502,1,6,6,2,1,0,0
7,45,17,900,501,1,4,20,5,1,0,0
6,57,17,310,501,4,3,17,3,0,1,0
13,52,7,440,101,4,3,28,4,0,1,0
13,22,12,310,501,4,1,1,11,0,1,0
17,25,12,668,502,4,6,4,12,0,1,0
21,31,7,354,605,4,4,2,12,1,0,0
7,69,7,745,217,4,3,6,10,0,1,0
6,35,17,888,501,4,2,9,2,0,1,0
10,64,2,440,124,4,4,5,8,1,0,0
15,62,17,440,502,4,1,14,6,1,0,0
13,41,7,354,750,4,1,2,8,1,0,0
2,25,17,331,108,4,5,31,12,1,0,0
6,39,17,740,101,4,0,22,8,0,1,0
20,45,7,230,108,1,5,22,10,0,1,0
11,90,7,354,501,4,4,2,9,0,1,0
17,44,7,230,101,1,3,15,9,1,0,0
7,23,2,230,101,4,5,12,2,0,1,0
16,41,7,230,108,4,1,7,6,0,1,0
1,32,2,331,108,4,6,10,4,1,0,0
20,70,7,230,101,1,5,10,12,0,1,0
8,45,7,624,210,2,1,13,12,0,1,0
9,16,12,946,502,4,3,31,3,0,1,0
21,66,7,930,501,2,1,19,7,0,1,0
11,13,7,624,248,1,0,25,4,0,1,0
2,32,7,354,502,4,1,1,2,1,0,0
6,26,17,440,207,4,5,1,10,1,0,0
20,79,12,930,502,4,1,18,1,0,1,0
4,44,7,354,605,4,6,10,7,1,0,0
21,73,18,330,104,4,3,10,2,0,1,0
7,34,17,341,203,4,6,23,10,1,0,0
4,51,7,626,501,4,6,2,10,1,0,0
2,25,12,440,502,4,0,9,5,1,0,0
4,61,7,624,102,4,5,12,11,0,1,0
2,68,7,210,101,4,4,8,7,0,1,0
6,32,17,480,123,4,4,7,1,0,1,0
10,29,7,740,122,4,2,14,9,1,0,0
10,27,7,122,502,1,6,24,7,1,0,0
11,52,17,331,101,4,0,12,9,0,1,0
16,36,7,763,301,2,6,21,8,1,0,0
15,37,7,740,101,4,1,10,5,0,1,0
16,23,7,440,501,4,3,12,5,0,1,0
10,21,7,230,101,4,6,27,11,0,1,0
12,40,7,230,104,4,0,25,7,1,0,0
19,50,7,354,109,4,3,17,11,0,1,0
8,52,17,310,501,4,2,13,7,0,1,0
14,37,17,901,710,4,2,21,12,0,1,0
8,70,17,440,501,4,3,28,7,0,1,0
16,40,7,740,122,4,3,21,7,0,1,0
17,35,17,624,108,4,4,19,8,0,1,0
19,67,7,420,101,4,3,10,11,0,1,0
20,36,7,740,122,4,4,25,11,0,1,0
20,23,1,330,101,4,6,17,4,1,0,0
8,52,12,649,501,4,0,25,7,1,0,0
9,63,17,662,501,4,4,2,12,0,1,0
21,35,18,354,404,4,1,26,7,0,1,0
9,21,7,664,406,4,1,7,6,0,1,0
3,20,2,626,502,4,6,4,9,1,0,0
20,34,7,230,501,1,6,15,5,0,1,0
6,37,2,230,108,4,1,11,10,0,1,0
6,55,17,624,108,4,6,17,4,0,1,0
15,47,12,341,707,4,3,10,11,0,1,0
11,24,7,420,501,4,6,26,6,1,0,0
21,40,7,354,502,4,5,1,10,0,1,0
2,21,17,330,101,4,1,1,2,0,1,0
8,28,1,860,101,4,5,18,6,1,0,0
1,23,2,762,931,4,4,12,8,1,0,0
3,23,7,745,122,4,0,2,5,0,1,0
7,42,7,354,501,4,3,6,10,0,1,0
